"section_type","Designation","m","A","Ix","Iy","Zx","Zy","Zplx","rx","ry","J","Iu","Iv","ru","rv","h","b","t","c","source_row"
"CHS","200x200x6.0",,"35.8218422517134","4.5632920065877",,"28.3274814393116",,"44.5880703617908","283.274814393116",,"78.7888663458359",,,,,"200","200","6",,"473"
"CHS","200x200x8.0",,"46.505344596654","5.92424771931899",,"35.6625364268022",,"58.1518150880618","356.625364268022",,"77.5870981643839",,,,,"200","200","8",,"474"
"CHS","200x200x10.0",,"56.9646009322719","7.25663706143592",,"42.5106188461322",,"70.7173482630355","425.106188461322",,"76.538687812186",,,,,"200","200","10",,"475"
"CHS","220x220x6.0*",,"39.5077267337492","5.0432920065877",,"38.1336045715647",,"59.761808850347","346.66913246877",,"86.955463055673",,,,,"220","220","6",,"477"
"CHS","220x220x8.0",,"52.2823849410414","6.56424771931899",,"48.2801042163112",,"78.1483872761126","438.910038330102",,"85.7613519120065",,,,,"220","220","8",,"478"
"CHS","220x220x10.0",,"64.8597511296882","8.05663706143592",,"57.824571477763",,"95.3277348359207","525.677922525118",,"84.7187055897989",,,,,"220","220","10",,"479"
"CHS","250x250x6.0*",,"45.2418422517134","5.7632920065877",,"56.7200237724148",,"88.4251848780808","453.760190179318",,"99.2048466025504",,,,,"250","250","6",,"481"
"CHS","250x250x8.0",,"59.0653445966541","7.52424771931899",,"72.2920487953192",,"115.977692694447","578.336390362554",,"98.0197801014418",,,,,"250","250","8",,"482"
"CHS","250x250x10.0",,"72.664600932272","9.25663706143592",,"87.0667393232476",,"141.972204804838","696.533914585981",,"96.9838727054799",,,,,"250","250","10",,"483"
"CHS","260x260x6.0*",,"47.0393495455388","6.0032920065877",,"64.0454260400235",,"99.697714920365","492.657123384796",,"103.287870898693",,,,,"260","260","6",,"485"
"CHS","260x260x8.0",,"62.3245486900942","7.84424771931899",,"81.7801884269205",,"130.868644457373","629.078372514773",,"102.105327669568",,,,,"260","260","8",,"486"
"CHS","260x260x10.0",,"77.4124558160039","9.65663706143592",,"98.6464589778861",,"160.354723606969","758.818915214509",,"101.071286958052",,,,,"260","260","10",,"487"
"CHS","285x285x8.0",,"68.5787056811546","8.64424771931899",,"109.050466694525",,"173.541108068319","765.266432944033",,"112.318207079337",,,,,"285","285","8",,"489"
"CHS","285x285x10.0",,"85.2301520548297","10.6566370614359",,"131.983147471671",,"213.079924008964","926.197526116993",,"111.288208939481",,,,,"285","285","10",,"490"
"CHS","50x25x2.0*",,"2.28858741628709","0.270265482457437",,"0.0816734495838629",,"0.0275530233224524","3.26693798335452",,"17.3838176720265",,,,,"50","25","2",,"499"
"CHS","50x25x2.5",,"2.82990739244552","0.333904862254809",,"0.0988658891382891",,"0.0327840094048653","3.95463556553157",,"17.2072657743067",,,,,"50","25","2.5",,"500"
"CHS","50x25x3.0",,"3.3588966174386","0.390823001646924",,"0.111721362363068",,"0.0366715305881105","4.4688544945227",,"16.9074477323074",,,,,"50","25","3",,"501"
"CHS","50x25x3.5",,"3.87555509126634","0.444453530019425",,"0.122498742571383",,"0.0398176014615101","4.89994970285531",,"16.6017028187628",,,,,"50","25","3.5",,"502"
"CHS","50x38x2.0",,"2.71769755684092","0.322265482457437",,"0.111642782917196",,"0.0731486244958791","4.46571131668785",,"18.6126594482889",,,,,"50","38","2",,"504"
"CHS","50x38x2.5",,"3.3662950681378","0.393539816339745",,"0.132182104867704",,"0.086399329579492","5.28728419470815",,"18.3270258468868",,,,,"50","38","2.5",,"505"
"CHS","50x38x3.0",,"4.00256182826934","0.461097335529233",,"0.149985545547824",,"0.0978166091657376","5.99942182191296",,"18.0355087386652",,,,,"50","38","3",,"506"
"CHS","50x38x3.5",,"4.62649783723554","0.5312380400259",,"0.172343697322171",,"0.109866342520772","6.78518493394374",,"18.0116342722411",,,,,"50","38","3.5",,"507"
"CHS","60x40x2.5",,"3.76087910542868","0.458904862254809",,"0.220713233145621",,"0.117359621577031","7.3571077715207",,"21.9307183143022",,,,,"60","40","2.5",,"509"
"CHS","60x40x3.0",,"4.4760626730184","0.540823001646924",,"0.253788307717156",,"0.134395567091325","8.45961025723854",,"21.6624826459402",,,,,"60","40","3",,"510"
"CHS","60x40x3.5",,"5.17891548944277","0.619453530019425",,"0.283462966225365",,"0.149511362085039","9.4487655408455",,"21.3916260295979",,,,,"60","40","3.5",,"511"
"CHS","60x40x4.0",,"5.86943755470181","0.69479644737231",,"0.309857409475644",,"0.162799950702392","10.3285803158548",,"21.1179690120286",,,,,"60","40","4",,"512"
"CHS","60x40x4.5",,"6.54762886879551","0.76685175370558",,"0.333090058399833",,"0.174352497214048","11.1030019466611",,"20.8413154861184",,,,,"60","40","4.5",,"513"
"CHS","76x38x2.5",,"4.34658978578232","0.528904862254809",,"0.383174255898519",,"0.129378047238308","10.083533049961",,"26.9159294680765",,,,,"76","38","2.5",,"515"
"CHS","76x38x3.0",,"5.17891548944277","0.624823001646925",,"0.442961012454978",,"0.148517346046858","11.6568687488152",,"26.625896969149",,,,,"76","38","3",,"516"
"CHS","76x38x3.5",,"5.99891044193787","0.717453530019425",,"0.49748772452709",,"0.165646357167886","13.0917822243971",,"26.3326335915491",,,,,"76","38","3.5",,"517"
"CHS","76x38x4.0",,"6.80657464326764","0.80679644737231",,"0.546903398249192",,"0.180862299079496","14.3921946907682",,"26.0359436169984",,,,,"76","38","4",,"518"
"CHS","76x38x4.5",,"7.60190809343207","0.89285175370558",,"0.591355259882065",,"0.19426061038623","15.5619805232122",,"25.7356151809767",,,,,"76","38","4.5",,"519"
"CHS","80x40x2.5",,"4.54388180442777","0.558904862254809",,"0.451056150498506",,"0.152567954910364","11.2764037624627",,"28.4083729390231",,,,,"80","40","2.5",,"521"
"CHS","80x40x3.0",,"5.4156659118173","0.660823001646924",,"0.522505648672372",,"0.175555567091325","13.0626412168093",,"28.1191973168511",,,,,"80","40","3",,"522"
"CHS","80x40x3.5",,"6.2751192680415","0.759453530019425",,"0.588076943036243",,"0.196283028751705","14.7019235759061",,"27.8270054798582",,,,,"80","40","3.5",,"523"
"CHS","80x40x4.0",,"7.12224187310036","0.85479644737231",,"0.647927491056692",,"0.214853284035726","16.1981872764173",,"27.5316252388908",,,,,"80","40","4",,"524"
"CHS","80x40x4.5",,"7.95703372699386","0.94685175370558",,"0.702212970326734",,"0.231367497214048","17.5553242581684",,"27.2328710416512",,,,,"80","40","4.5",,"525"
"CHS","100x50x2.5*",,"5.70297241396972","0.708904862254809",,"0.91203420696902",,"0.310584639138289","18.2406841393804",,"35.8683654627944",,,,,"100","50","2.5",,"527"
"CHS","100x50x3.0",,"6.80657464326765","0.840823001646924",,"1.06456758995697",,"0.360571362363068","21.2913517991395",,"35.5823255018067",,,,,"100","50","3",,"528"
"CHS","100x50x3.5",,"7.89784612140024","0.969453530019425",,"1.20761745918434",,"0.406829992571383","24.1523491836868",,"35.2940253621439",,,,,"100","50","3.5",,"529"
"CHS","100x50x4.0",,"8.97678684836748","1.09479644737231",,"1.34138352877887",,"0.449492102238044","26.8276705755774",,"35.0033648571037",,,,,"100","50","4",,"530"
"CHS","100x50x4.5",,"10.0433968241694","1.21685175370558",,"1.46606373299475",,"0.488687483964301","29.321274659895",,"34.7102378014574",,,,,"100","50","4.5",,"531"
"CHS","100x50x5.0",,"11.0976760488059","1.33561944901923",,"1.58185422621263",,"0.524544150477845","31.6370845242525",,"34.4145315486135",,,,,"100","50","5",,"532"
"CHS","100x50x6.0",,"13.169242244583","1.5632920065877",,"1.78754179780908",,"0.586744489409767","35.7508359561816",,"33.8148954646148",,,,,"100","50","6",,"533"
"CHS","120x60x3.0*",,"8.23447562821402","1.02082300164692",,"1.89119413157096",,"0.644028307717156","31.5199021928493",,"43.0420385553533",,,,,"120","60","3",,"535"
"CHS","120x60x3.5",,"9.56373060383766","1.17945353001942",,"2.15614868133632",,"0.730949632892031","35.9358113556053",,"42.7561837962664",,,,,"120","60","3.5",,"536"
"CHS","120x60x4.0",,"10.880654828296","1.33479644737231",,"2.40739885597551",,"0.812470742808977","40.1233142662584",,"42.4684591257872",,,,,"120","60","4",,"537"
"CHS","120x60x4.5",,"12.1852483015889","1.48685175370558",,"2.64518484640389",,"0.888750058399833","44.0864141067314",,"42.1787959752766",,,,,"120","60","4.5",,"538"
"CHS","120x60x5.0",,"13.4775110237165","1.63561944901923",,"2.86974506366327",,"0.959944220722878","47.8290843943878",,"41.8871223898879",,,,,"120","60","5",,"539"
"CHS","120x60x6.0",,"16.0250442144758","1.9232920065877",,"3.2801329234745",,"1.08769475043086","54.6688820579084",,"41.2974378583362",,,,,"120","60","6",,"540"
"CHS","160x80x3.0*",,"11.0532853446107","1.38082300164692",,"4.63814101578708",,"1.59026564867237","57.9767626973386",,"57.9566090762405",,,,,"160","80","3",,"542"
"CHS","160x80x3.5*",,"12.8523419396338","1.59945353001943",,"5.32018324365194",,"1.81790694303624","66.5022905456492",,"57.6736559214094",,,,,"160","80","3.5",,"543"
"CHS","160x80x4.0*",,"14.6390677834916","1.81479644737231",,"5.97710737879217",,"2.03544749105669","74.7138422349021",,"57.3893847404711",,,,,"160","80","4",,"544"
"CHS","160x80x4.5",,"16.413462876184","2.02685175370558",,"6.6092381254455",,"2.24310297032673","82.6154765680688",,"57.103760244353",,,,,"160","80","4.5",,"545"
"CHS","160x80x5.0",,"18.1755272177111","2.23561944901923",,"7.2168984079761",,"2.44108727856583","90.2112300997012",,"56.8167458780463",,,,,"160","80","5",,"546"
"CHS","160x80x6.0",,"21.6626636472692","2.6432920065877",,"8.36009037875796",,"2.8088890734612","104.501129734474",,"56.2383946337022",,,,,"160","80","6",,"547"
"CHS","200x100x4.0*",,"18.3974807386872","2.29479644737231",,"11.9970530595067",,"4.10778352877887","119.970530595067",,"72.3044797124209",,,,,"200","100","4",,"549"
"CHS","200x100x4.5",,"20.6416774507791","2.56685175370558",,"13.3143728074516",,"4.54642623299475","133.143728074516",,"72.0211352984788",,,,,"200","100","4.5",,"550"
"CHS","200x100x6.0",,"27.3002830800627","3.3632920065877",,"17.0330814393116",,"5.76914179780908","170.330814393116",,"71.1646510036134",,,,,"200","100","6",,"551"
"CHS","200x100x8.0",,"36.0057934027927","4.32424771931899",,"20.9084030934689",,"7.0535739705478","209.084030934689",,"69.5352706881059",,,,,"200","100","8",,"552"
"CHS","200x100x10.0",,"44.5140117068772","5.25663706143592",,"24.4439521794655",,"8.17743353895258","244.439521794655",,"68.1917312387837",,,,,"200","100","10",,"553"
"CHS","250x100x4.0*",,"21.218756605317","2.69479644737231",,"20.916564497027",,"5.0299168621122","167.332515976216",,"88.1012750826843",,,,,"250","100","4",,"555"
"CHS","250x100x4.5*",,"23.8156128007376","3.01685175370558",,"23.256730632878",,"5.57321373299475","186.053845063024",,"87.8005722578723",,,,,"250","100","4.5",,"556"
"CHS","250x100x6.0*",,"31.5321968800072","3.9632920065877",,"29.9234237724148",,"7.09634179780908","239.387390179318",,"86.891562297339",,,,,"250","100","6",,"557"
"CHS","250x100x8.0",,"41.6483451360521","5.12424771931899",,"37.1408487953192",,"8.75064063721447","297.126790362554",,"85.1355319704365",,,,,"250","100","8",,"558"
"CHS","250x100x10.0",,"51.5672013734516","6.25663706143592",,"43.8417393232476",,"10.2107668722859","350.733914585981",,"83.7092414110984",,,,,"250","100","10",,"559"
"CHS","250x150x6.0 *",,"35.8218422517134","4.5632920065877",,"38.8556237724148",,"17.683454114443","310.844990179318",,"92.2757986069354",,,,,"250","150","6",,"561"
"CHS","250x150x8.0",,"46.505344596654","5.92424771931899",,"48.8579154619859",,"22.1924670407673","390.863323695887",,"90.8135936613495",,,,,"250","150","8",,"562"
"CHS","250x150x10.0",,"56.9646009322719","7.25663706143592",,"58.250072656581",,"26.3419613624783","466.000581252648",,"89.5943317225392",,,,,"250","150","10",,"563"
"CHS","300x140x6.0*",,"39.5077267337492","5.0432920065877",,"58.1416411137526",,"17.8289024504575","387.610940758351",,"107.370898099377",,,,,"300","140","6",,"565"
"CHS","300x140x8.0",,"52.2823849410414","6.56424771931899",,"73.4242574796516",,"22.4327436547915","489.495049864344",,"105.761426689646",,,,,"300","140","8",,"566"
"CHS","300x140x10.0",,"64.8597511296882","8.05663706143592",,"87.8869894604913",,"26.6633920916295","585.913263069942",,"104.444456466418",,,,,"300","140","10",,"567"
"CHS","320x200x6.0*",,"47.0393495455388","6.0032920065877",,"86.0432162525934",,"41.8807614393116","537.770101578709",,"119.719138682585",,,,,"320","200","6",,"569"
"CHS","320x200x8.0*",,"62.3245486900942","7.84424771931899",,"109.797326321813",,"53.3674964268022","686.233289511331",,"118.309667088927",,,,,"320","200","8",,"570"
"CHS","320x200x10.0",,"77.4124558160039","9.65663706143592",,"132.484245820225",,"64.1906188461322","828.026536376404",,"117.130275395142",,,,,"320","200","10",,"571"
"CHS","340x180x6.0*",,"47.0393495455388","6.0032920065877",,"92.8907297927517",,"34.903456708376","546.416057604422",,"124.391714348821",,,,,"340","180","6",,"573"
"CHS","340x180x8.0*",,"62.3245486900942","7.84424771931899",,"118.451138041171",,"44.4060315144904","696.771400242184",,"122.883612107261",,,,,"340","180","8",,"574"
"CHS","340x180x10.0",,"77.4124558160039","9.65663706143592",,"142.879496258912",,"53.3146602934552","840.467625052423",,"121.638764602176",,,,,"340","180","10",,"575"
"Lipped Channels","75x50x20x2.0","3.14","0.4","0.36","0.15","9.59","5.12",,"30","19.3","0.534",,,,,"75","50","2","20","586"
"Lipped Channels","75x50x20x2.5","3.85","0.491","0.433","0.178","11.5","6.1",,"29.7","19.1","1.02",,,,,"75","50","2.5","20","587"
"Lipped Channels","75x50x20x3.0","4.54","0.578","0.5","0.204","13.3","6.98",,"29.4","18.8","1.73",,,,,"75","50","3","20","588"
"Lipped Channels","100x50x20x2.0","3.53","0.45","0.705","0.167","14.1","5.32",,"39.6","19.3","0.6",,,,,"100","50","2","20","590"
"Lipped Channels","100x50x20x2.5","4.35","0.554","0.854","0.2","17.1","6.35",,"39.3","19","1.15",,,,,"100","50","2.5","20","591"
"Lipped Channels","100x50x20x3.0","5.13","0.653","0.991","0.229","19.8","7.27",,"39","18.7","1.96",,,,,"100","50","3","20","592"
"Lipped Channels","100x75x20x2.0","4.32","0.55","0.945","0.439","18.9","9.65",,"41.4","28.2","0.734",,,,,"100","75","2","20","594"
"Lipped Channels","100x75x20x2.5","5.33","0.679","1.15","0.53","23","11.6",,"41.2","27.9","1.41",,,,,"100","75","2.5","20","595"
"Lipped Channels","100x75x20x3.0","6.3","0.803","1.34","0.614","26.9","13.5",,"40.9","27.7","2.41",,,,,"100","75","3","20","596"
"Lipped Channels","125x50x20x2.0","3.93","0.5","1.19","0.181","19.1","5.46",,"48.8","19","0.667",,,,,"125","50","2","20","598"
"Lipped Channels","125x50x20x2.5","4.84","0.616","1.45","0.216","23.2","6.52",,"48.5","18.7","1.28",,,,,"125","50","2.5","20","599"
"Lipped Channels","125x50x20x3.0","5.72","0.728","1.69","0.248","27","7.47",,"48.1","18.5","2.18",,,,,"125","50","3","20","600"
"Lipped Channels","125x65x20x2.0","4.4","0.56","1.42","0.338","22.7","8.03",,"50.3","24.6","0.747",,,,,"125","65","2","20","602"
"Lipped Channels","125x65x20x2.5","5.42","0.691","1.73","0.407","27.7","9.67",,"50","24.3","1.44",,,,,"125","65","2.5","20","603"
"Lipped Channels","125x65x20x3.0","6.42","0.818","2.02","0.471","32.3","11.2",,"49.7","24","2.45",,,,,"125","65","3","20","604"
"Lipped Channels","125x75x20x2.0","4.71","0.6","1.57","0.476","25.1","9.95",,"51.1","28.2","0.8",,,,,"125","75","2","20","606"
"Lipped Channels","125x75x20x2.5","5.82","0.741","1.92","0.575","30.7","12",,"50.9","27.9","1.54",,,,,"125","75","2.5","20","607"
"Lipped Channels","125x75x20x3.0","6.89","0.878","2.24","0.668","35.9","13.9",,"50.6","27.6","2.63",,,,,"125","75","3","20","608"
"Lipped Channels","150x50x20x2.0","4.32","0.55","1.83","0.192","24.5","5.56",,"57.7","18.7","0.734",,,,,"150","50","2","20","610"
"Lipped Channels","150x50x20x2.5","5.33","0.679","2.23","0.23","29.8","6.65",,"57.4","18.4","1.41",,,,,"150","50","2.5","20","611"
"Lipped Channels","150x50x20x3.0","6.3","0.803","2.61","0.264","34.8","7.62",,"57","18.1","2.41",,,,,"150","50","3","20","612"
"Lipped Channels","150x65x20x2.0","4.79","0.61","2.16","0.36","28.8","8.21",,"59.5","24.3","0.814",,,,,"150","65","2","20","614"
"Lipped Channels","150x65x20x2.5","5.92","0.754","2.64","0.434","35.2","9.88",,"59.2","24","1.57",,,,,"150","65","2.5","20","615"
"Lipped Channels","150x65x20x3.0","7.01","0.893","3.1","0.502","41.3","11.4",,"58.9","23.7","2.68",,,,,"150","65","3","20","616"
"Lipped Channels","150x65x20x3.5","8.08","1.03","3.53","0.564","47","12.8",,"58.5","23.4","4.2",,,,,"150","65","3.5","20","617"
"Lipped Channels","150x75x20x2.0","5.1","0.65","2.38","0.507","31.8","10.2",,"60.5","27.9","0.867",,,,,"150","75","2","20","619"
"Lipped Channels","150x75x20x2.5","6.31","0.804","2.91","0.614","38.8","12.3",,"60.2","27.6","1.67",,,,,"150","75","2.5","20","620"
"Lipped Channels","150x75x20x3.0","7.48","0.953","3.42","0.713","45.6","14.3",,"59.9","27.3","2.86",,,,,"150","75","3","20","621"
"Lipped Channels","150x75x20x3.5","8.63","1.1","3.9","0.804","52","16.1",,"59.6","27","4.49",,,,,"150","75","3.5","20","622"
"Lipped Channels","175x50x20x2.0","4.71","0.6","2.65","0.202","30.3","5.64",,"66.4","18.3","0.8",,,,,"175","50","2","20","624"
"Lipped Channels","175x50x20x2.5","5.82","0.741","3.23","0.242","36.9","6.75",,"66","18.1","1.54",,,,,"175","50","2.5","20","625"
"Lipped Channels","175x50x20x3.0","6.89","0.878","3.78","0.277","43.2","7.74",,"65.6","17.8","2.63",,,,,"175","50","3","20","626"
"Lipped Channels","175x50x20x3.5","7.94","1.01","4.3","0.309","49.2","8.63",,"65.2","17.5","4.13",,,,,"175","50","3.5","20","627"
"Lipped Channels","175x65x20x2.0","5.18","0.66","3.1","0.379","35.4","8.34",,"68.5","23.9","0.88",,,,,"175","65","2","20","629"
"Lipped Channels","175x65x20x2.5","6.41","0.816","3.79","0.457","43.3","10.1",,"68.1","23.7","1.7",,,,,"175","65","2.5","20","630"
"Lipped Channels","175x65x20x3.0","7.6","0.968","4.45","0.528","50.8","11.6",,"67.8","23.4","2.9",,,,,"175","65","3","20","631"
"Lipped Channels","175x65x20x3.5","8.76","1.12","5.08","0.594","58","13",,"67.4","23.1","4.56",,,,,"175","65","3.5","20","632"
"Lipped Channels","175x65x20x4.5","11","1.4","6.24","0.707","71.3","15.5",,"66.7","22.5","9.46",,,,,"175","65","4.5","20","633"
"Lipped Channels","175x75x20x2.5","6.8","0.866","4.16","0.647","47.6","12.5",,"69.3","27.3","1.8",,,,,"175","75","2.5","20","635"
"Lipped Channels","175x75x20x3.0","8.07","1.03","4.89","0.751","55.9","14.5",,"69","27","3.08",,,,,"175","75","3","20","636"
"Lipped Channels","175x75x20x3.5","9.31","1.19","5.59","0.848","63.9","16.4",,"68.6","26.7","4.84",,,,,"175","75","3.5","20","637"
"Lipped Channels","175x75x20x4.5","11.7","1.49","6.89","1.02","78.7","19.6",,"68","26.1","10.1",,,,,"175","75","4.5","20","638"
"Lipped Channels","200x75x20x2.5","7.29","0.929","5.68","0.676","56.8","12.7",,"78.2","27","1.93",,,,,"200","75","2.5","20","640"
"Lipped Channels","200x75x20x3.0","8.66","1.1","6.69","0.785","66.9","14.8",,"77.9","26.7","3.31",,,,,"200","75","3","20","641"
"Lipped Channels","200x75x20x3.5","10","1.27","7.65","0.886","76.5","16.6",,"77.5","26.4","5.2",,,,,"200","75","3.5","20","642"
"Lipped Channels","200x75x20x4.5","12.6","1.6","9.45","1.06","94.5","19.9",,"76.8","25.7","10.8",,,,,"200","75","4.5","20","643"
"Lipped Channels","225x50x20x2.5","6.8","0.866","5.94","0.26","52.8","6.89",,"82.8","17.3","1.8",,,,,"225","50","2.5","20","645"
"Lipped Channels","225x50x20x3.0","8.07","1.03","6.98","0.298","62","7.91",,"82.4","17","3.08",,,,,"225","50","3","20","646"
"Lipped Channels","225x50x20x3.5","9.31","1.19","7.96","0.332","70.8","8.82",,"81.9","16.7","4.84",,,,,"225","50","3.5","20","647"
"Lipped Channels","225x75x20x2.5","7.78","0.991","7.49","0.701","66.6","12.9",,"86.9","26.6","2.06",,,,,"225","75","2.5","20","649"
"Lipped Channels","225x75x20x3.0","9.25","1.18","8.83","0.814","78.4","14.9",,"86.6","26.3","3.53",,,,,"225","75","3","20","650"
"Lipped Channels","225x75x20x3.5","10.7","1.36","10.1","0.919","89.9","16.9",,"86.2","26","5.56",,,,,"225","75","3.5","20","651"
"Lipped Channels","225x75x20x4.5","13.5","1.72","12.5","1.1","111","20.2",,"85.4","25.3","11.6",,,,,"225","75","4.5","20","652"
"Lipped Channels","250x75x20x2.5","8.27","1.05","9.61","0.723","76.9","13",,"95.5","26.2","2.19",,,,,"250","75","2.5","20","654"
"Lipped Channels","250x75x20x3.0","9.84","1.25","11.3","0.839","90.7","15.1",,"95.1","25.9","3.76",,,,,"250","75","3","20","655"
"Lipped Channels","250x75x20x3.5","11.4","1.45","13","0.948","104","17",,"94.7","25.6","5.92",,,,,"250","75","3.5","20","656"
"Lipped Channels","250x75x20x4.5","14.4","1.83","16.1","1.14","129","20.4",,"93.9","24.9","12.3",,,,,"250","75","4.5","20","657"
"Lipped Channels","300x75x20x4.5","16.1","2.05","25.1","1.2","167","20.8",,"110","24.1","13.9",,,,,"300","75","4.5","20","659"
"Lipped Channels","300x75x20x4.0","14.5","1.84","22.7","1.1","151","19.1",,"111","24.5","9.82",,,,,"300","75","4","20","660"
